ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE
Abnormal findings in specimens from female genital organs	Abnormality of female internal genitalia	HP_0000008	Broad	R87
Other congenital malformations of male genital organs	Abnormality of male internal genitalia	HP_0000022	Broad	Q55
Abnormal findings in specimens from male genital organs	Abnormality of male internal genitalia	HP_0000022	Broad	R86
Congenital lens malformations	Abnormality of the lens	HP_0000517	Broad	Q12
Congenital malformations of eyelid lacrimal apparatus and orbit	Abnormal nasolacrimal system morphology	HP_0000614	Broad	Q10
Enduring personality changes not attributable to brain damage and disease	Personality changes	HP_0000751	Broad	F62
Congenital malformations of breast	Abnormality of the breast	HP_0000769	Broad	Q83
Unspecified jaundice	jaundice	HP_0000952	Exact	R17
Iridocyclitis	iridocyclitis	HP_0001094	Exact	H20
Abnormalities of gait and mobility	gait disturbance	HP_0001288	Broad	R26
Hypoglycemic coma	hypoglycemic coma	HP_0001325	Broad	E15
Hepatic failure	hepatic failure	HP_0001399	Exact	K72
Umbilical hernia	umbilical hernia	HP_0001537	Exact	K42
Polyhydramnios	polyhydramnios	HP_0001561	Exact	O40
cardiac arrest	cardiac arrest	EFO_0009492	Exact	I46
Congenital deformities of feet	Abnormality of the foot	HP_0001760	Broad	Q66
Abnormalities of forces of labour	Abnormal delivery	HP_0001787	Broad	O62
Other assisted single delivery	Abnormal delivery	HP_0001787	Broad	O83
Multiple delivery	Abnormal delivery	HP_0001787	Broad	O84
Abnormality of red blood cells	abnormal erythrocyte morphology	HP_0001877	Exact	R71
Abnormal leukocyte morphology	abnormal leukocyte morphology	HP_0001881	Broad	R72
Hypothermia	hypothermia	HP_0002045	Exact	T68
Lymphadenopathy	lymphadenopathy	HP_0002716	Exact	R59
Abnormal findings in cerebrospinal fluid	abnormality of the cerebrospinal fluid	HP_0002921	Exact	R83
Glycosuria	glycosuria	HP_0003076	Exact	R81
Congenital malformations of posterior segment of eye	Abnormal morphology of the posterior segment of the globe	HP_0004329	Broad	Q14
Abnormality of aromatic amino acid family metabolism	abnormality of aromatic amino acid family metabolism	HP_0004338	Broad	E70
Abnormality of glycoprotein metabolism	abnormality of glycoprotein metabolism	HP_0004367	Exact	E77
Abnormality of glycosaminoglycan metabolism	abnormality of glycosaminoglycan metabolism	HP_0004371	Exact	E76
Congenital septal defect	Abnormal cardiac septum morphology	HP_0001671	Exact	Q21
Abscess of anal and rectal regions	Rectal abscess	HP_0005224	Broad	K61
Abnormalities of breathing	Breathing dysregulation	HP_0005957	Broad	R06
Paroxysmal tachycardia	paroxysmal tachycardia	EFO_0009493	Exact	I47
Congenital malformations of anterior segment of eye	Anterior segment developmental abnormality	HP_0007700	Exact	Q13
Gynecomastia	breast hypertrophy	HP_0010313	Exact	N62
Polydactyly	polydactyly	Orphanet_2913	Exact	Q69
Pilonidal cyst	Pilonidal asbcess	HP_0010771	Broad	L05
Congenital obstructive defects of renal pelvis and congenital malformations of ureter	Abnormality of the renal pelvis  || Abnormality of the ureter	"HP_0010944, HP_0000069"	Exact	Q62
Single delivery by forceps and vacuum extractor	Forceps delivery	HP_0011411	Broad	O81
Personality disorder	Personality disorder	HP_0012075	Broad	F60
Mixed and other personality disorders	Personality disorder	HP_0012075	Exact	F61
Acquired pure red cell aplasia	Pure red cell aplasia	HP_0012410	Exact	D60
Chorioretinitis	chorioretinitis	HP_0012424	Exact	H30
Other congenital malformations of upper alimentary tract	Morphological abnormality of the gastrointestinal tract	HP_0012718	Broad	Q40
Congenital malformations of larynx	Abnormal larynx morphology	HP_0025423	Exact	Q31
Cervicitis	cervicitis	HP_0030160	Broad	N72
Portal vein thrombosis	portal vein thrombosis	HP_0030242	Exact	I81
Cutaneous abscess furuncle and carbuncle	Cutaneous abscess	HP_0031292	Broad	L02
Congenital malformations of ear causing impairment of hearing	Abnormal ear morphology  || Hearing loss	"HP_0031703, EFO_0004238"	Broad	Q16
Other congenital malformations of ear	Abnormal ear morphology	HP_0031703	Exact	Q17
Abnormality of movement	abnormality of movement	HP_0100022	Broad	R25
Calcification and ossification of muscle	Calcification of muscles	HP_0100249	Broad	M61
Eclampsia	eclampsia	HP_0100601	Exact	O15
Other mosquito borne viral fevers	mosquito-borne hemorragic fever	EFO_0009575	Exact	A92
Internal derangement of knee	knee injury	EFO_0009507	Broad	M23
Fistulae involving female genital tract	female genital tract fistula	EFO_0009524	Exact	N82
Multiple gestation	multiple gestation	EFO_0009576	Exact	O30
Postpartum haemorrhage	postpartum hemorrhage	EFO_0009579	Exact	O72
Retained placenta and membranes without haemorrhage	placental retention	EFO_0009578	Exact	O73
Faecal incontinence	fecal incontinence	EFO_0009523	Exact	R15
Disturbances of skin sensation	disturbance of skin sensation	EFO_0009522	Exact	R20
Abnormal results of function studies	N/A	EFO_0009628	Exact	R94
Superficial injury of head	head injury	EFO_0009505	Broad	S00
Crushing injury of head	crush injury	EFO_0009504	Broad	S07
Crushing injury of head	head injury	EFO_0009505	Broad	S07
Injury of heart	heart injury	EFO_0009506	Exact	S26
Superficial injury of abdomen lower back and pelvis	abdominal injury	EFO_0009502	Narrow	S30
Injury of intra abdominal organs	abdominal injury	EFO_0009502	Broad	S36
Crushing injury of shoulder and upper arm	crush injury	EFO_0009504	Broad	S47
Fracture at wrist and hand level	wrist fracture	EFO_0009515	Narrow	S62
Open wound of hip and thigh	leg injury	EFO_0009508	Broad	S71
Injury of nerves at hip and thigh level	leg injury	EFO_0009508	Broad	S74
Injury of nerves at hip and thigh level	peripheral nerve injury	EFO_0009510	Broad	S74
Injury of blood vessels at hip and thigh level	leg injury	EFO_0009508	Broad	S75
Other and specified injuries of hip and thigh	leg injury	EFO_0009508	Broad	S79
Injury of nerves at lower leg level	leg injury	EFO_0009508	Broad	S84
Injury of nerves at lower leg level	peripheral nerve injury	EFO_0009510	Broad	S84
Fractures involving multiple body regions	multiple bone fractures	EFO_0009513	Exact	T02
Dislocations sprains and strains involving multiple body regions	dislocation	EFO_0009521	Narrow	T03
Dislocations sprains and strains involving multiple body regions	sprain	EFO_0009582	Narrow	T03
Crushing injuries involving multiple body regions	crush injury	EFO_0009504	Broad	T04
Fracture of upper limb level unspecified	upper extremity fracture	EFO_0009514	Exact	T10
Other injuries of upper limb level unspecified	limb injury	EFO_0009509	Broad	T11
Fracture of lower limb level unspecified	lower extremity fracture	EFO_0009512	Exact	T12
Other injuries of lower limb level unspecified	leg injury	EFO_0009508	Exact	T13
Foreign body in ear	foreign body	EFO_0009525	Broad	T16
Foreign body in alimentary tract	foreign body in gastrointestinal tract	EFO_0009526	Exact	T18
Burn and corrosion of ankle and foot	burn	EFO_0009516	Broad	T25
Burn and corrosion of ankle and foot	caustic injury	EFO_0009503	Broad	T25
Burns and corrosions of multiple body regions	burn	EFO_0009516	Broad	T29
Burns and corrosions of multiple body regions	caustic injury	EFO_0009503	Broad	T29
Burns classified according to extent of body surface involved	burn	EFO_0009516	Exact	T31
Frostbite involving multiple body regions and unspecified frostbite	frostbite	EFO_0009527	Broad	T35
Toxic effect of organic solvents	intoxication	EFO_0009574	Broad	T52
Toxic effect of soaps and detergents	intoxication	EFO_0009574	Broad	T55
Toxic effect of other gases fumes and vapours	intoxication	EFO_0009574	Broad	T59
Toxic effect of pesticides	intoxication	EFO_0009574	Broad	T60
Complications following infusion transfusion and therapeutic injection	complication	EFO_0009518	Broad	T80
Complications of cardiac and vascular prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T82
Complications of genitourinary prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T83
Complications of internal orthopaedic prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T84
Complications of other internal prosthetic devices implants and grafts	device complication	EFO_0009519	Broad	T85
Sequelae of injuries of head	head injury	EFO_0009505	Broad	T90
Sequelae of injuries of upper limb	limb injury	EFO_0009509	Broad	T92
Sequelae of injuries of lower limb	leg injury	EFO_0009508	Broad	T93
Sequelae of burns corrosions and frostbite	burn	EFO_0009516	Broad	T95
Sequelae of burns corrosions and frostbite	caustic injury	EFO_0009503	Broad	T95
Sequelae of burns corrosions and frostbite	frostbite	EFO_0009527	Narrow	T95
Unspecified fall	N/A	EFO_0009631	Exact	W19
Routine general health check up of defined subpopulation	checkup	EFO_0009517	Exact	Z10
Contraceptive management	contraception	EFO_0009520	Exact	Z30
Supervision of high risk pregnancy	high-risk pregnancy	EFO_0009573	Narrow	Z35
Prophylactic surgery	prophylactic surgery	EFO_0009580	Exact	Z40
Other orthopaedic follow up care	orthopedic nursing	EFO_0009577	Broad	Z47
Care involving use of rehabilitation procedures	rehabilitation	EFO_0009581	Exact	Z50
Disorders of mineral metabolism	mineral metabolism disease	EFO_0009556	Exact	E83
Other disorders of eye and adnexa in diseases classified elsewhere	eye adnexa disease	EFO_0009546	Broad	H58
Nonrheumatic tricuspid valve disorders	tricuspid valve disease	EFO_0009568	Broad	I36
Disorders of sclera and cornea in diseases classified elsewhere	corneal disease	EFO_0009464	Broad	H19
Other disorders of cornea	corneal disease	EFO_0009464	Exact	H18
uremia	kidney failure	EFO_1002048	Exact	N19
Oesophageal varices	esophageal varices	EFO_0009545	Exact	I85
Disorders of autonomic nervous system	autonomic nervous system disease	EFO_0009532	Exact	G90
marasmus	protein energy malnutrition	EFO_0009563	Exact	E46
Mononeuropathies of upper limb	mononeuropathy	EFO_0009558	Broad	G56
Mononeuropathies of lower limb	mononeuropathy	EFO_0009558	Broad	G57
Other disorders of binocular movement	binocular vision disease	EFO_0009535	Broad	H51
Inflammatory disease of uterus except cervix	uterine inflammatory disease	EFO_0009572	Exact	N71
Polyneuropathy in diseases classified elsewhere	polyneuropathy	EFO_0009562	Broad	G63
Noninflammatory disorders of ovary fallopian tube and broad ligament	fallopian tube disease	EFO_0009548	Broad	N83
Pain and other conditions associated with female genital organs and menstrual cycle	female reproductive system disease	EFO_0009549	Broad	N94
Anuria and oliguria	anuria	EFO_0009530	Broad	R34
Multiple valve diseases	heart valve disease	EFO_0009551	Broad	I08
Disorders of male genital organs in diseases classified elsewhere	male reproductive system disease	EFO_0009555	Broad	N51
Obstructive and reflux uropathy	urinary tract obstruction	EFO_0009571	Broad	N13
Disorders of eyelid in diseases classified elsewhere	eyelid disease	EFO_0009547	Broad	H03
Diseases of pulp and periapical tissues	dental pulp disease	EFO_0009540	Broad	K04
Disorders of trigeminal nerve	trigeminal nerve disease	EFO_0009569	Exact	G50
Pulmonary valve disorders	pulmonary valve disease	EFO_0009564	Exact	I37
Other disorders of tympanic membrane	tympanic membrane disease	EFO_0009570	Exact	H73
Other diseases of oesophagus	esophageal disease	EFO_0009544	Exact	K22
Nonrheumatic mitral valve disorders	mitral valve disease	EFO_0009557	Broad	I34
Rheumatic aortic valve diseases	aortic valve disease	EFO_0009531	Broad	I06
Nonrheumatic aortic valve disorders	aortic valve disease	EFO_0009531	Broad	I35
Other degenerative diseases of basal ganglia	basal ganglia disease	EFO_0009533	Broad	G23
Other inflammation of eyelid	blepharitis	EFO_0009536	Exact	H01
Otitis externa	otitis externa	EFO_0009560	Exact	H60
Other diseases of biliary tract	biliary tract disease	EFO_0009534	Exact	K83
Haemorrhoids	hemorrhoid	EFO_0009552	Exact	I84
Arthrosis of first carpometacarpal joint	joint disease	EFO_1000999	Broad	M18
Inflammatory polyneuropathy	chronic inflammatory demyelinating polyneuropathy	EFO_0009538	Broad	G61
Congenital malformations of aortic and mitral valves	congenital mitral malformation	EFO_0009539	Broad	Q23
HIV disease resulting in malignant neoplasms	HIV-associated cancer	EFO_0009553	Exact	B21
Anaemia due to enzyme disorders	anemia due to enzyme disorder	EFO_0009529	Exact	D55
Other disorders of peritoneum	disease of peritoneum	EFO_0009541	Exact	K66
Intestinal malabsorption	malabsorption syndrome	EFO_0009554	Broad	K90
Other headache syndromes	headache disorder	EFO_0009550	Exact	G44
Disorders resulting from impaired renal tubular function	renal tubule disease	EFO_0009566	Broad	N25
Unspecified intestinal parasitism	parasitic intestinal disease	EFO_0009561	Exact	B82
Nerve root and plexus disorders	nerve plexus disease	EFO_0009559	Exact	G54
HIV disease resulting in other specified diseases	AIDS-related disorder	EFO_0009528	Broad	B22
HIV disease resulting in other conditions	AIDS-related disorder	EFO_0009528	Broad	B23
Skin changes due to chronic exposure to nonionizing radiation	radiation-induced disorder	EFO_0009565	Broad	L57
Cervical disc disorders	cervical disc degenerative disease	EFO_0009537	Broad	M50
Other diseases of appendix	disorder of appendix	EFO_0009542	Exact	K38
Small kidney of unknown cause	small kidney	EFO_0009471	Exact	N27
Perforation of tympanic membrane	tympanic membrane perforation	EFO_0009472	Exact	H72
Other spirochaetal infections	Spirochaetales Infections	EFO_0009567	Exact	A69
Disturbances of smell and taste	disturbances of sensation of smell and taste	EFO_0009543	Exact	R43
Other diseases of jaws	jaw disease	EFO_0009468	Exact	K10
Diseases of Bartholin s gland	Bartholin's gland disease	EFO_0009469	Exact	N75
Soft tissue disorders related to use overuse and pressure	soft tissue disease	EFO_0009470	Broad	M70
Soft tissue disorders in diseases classified elsewhere	soft tissue disease	EFO_0009470	Broad	M73
Waist circumference	waist circumference	EFO_0004342	Exact	48
Hip circumference	hip circumference	EFO_0005093	Exact	49
Standing height	body height	EFO_0004339	Exact	50
"Pulse rate, automated reading"	heart rate	EFO_0004326	Broad	102
Sleep duration	sleep duration	EFO_0005271	Exact	1160
Morning/evening person (chronotype)	chronotype measurement	EFO_0008328	Exact	1180
Sleeplessness / insomnia	insomnia	EFO_0004698	Exact	1200
Snoring	snoring measurement	EFO_0008341	Exact	1210
Alcohol intake frequency.	alcohol consumption measurement	EFO_0007878	Exact	1558
Mood swings	mood swings	HP_0000720	Exact	1920
Irritability	irritability	HP_0000737	Exact	1940
"Loneliness, isolation"	loneliness measurement	EFO_0007865	Exact	2020
Frequency of tiredness / lethargy in last 2 weeks	tiredness measurement	EFO_0007946	Exact	2080
Hearing difficulty/problems with background noise	hearing loss	EFO_0004238	Exact	2257
Chest pain or discomfort	chest pain	HP_0100749	Exact	2335
Relative age voice broke	age at voice drop	EFO_0007888	Exact	2385
Age when periods started (menarche)	age at menarche	EFO_0004703	Exact	2714
Had menopause	menopause	EFO_0003922	Exact	2724
Forced vital capacity (FVC)	vital capacity	EFO_0004312	Exact	3062
Forced expiratory volume in 1-second (FEV1)	forced expiratory volume	EFO_0004314	Broad	3063
Neck/shoulder pain for 3+ months	shoulder pain  || neck pain	"HP_0030834, HP_0030833"	Broad	3404
Hip pain for 3+ months	hip pain	HP_0030838	Broad	3414
Back pain for 3+ months	back pain	HP_0003418	Broad	3571
Ever had hysterectomy (womb removed)	hysterectomy	EFO_0003881	Broad	3591
Length of menstrual cycle	menstrual cycle measurement	EFO_0007786	Exact	3710
Stomach/abdominal pain for 3+ months	pain in abdomen	EFO_0003766	Exact	3741
Headaches for 3+ months	headache disorder  || headache	"EFO_0009550, HP_0002315"	Exact	3799
Gestational diabetes only	gestational diabetes	EFO_0004593	Exact	4041
"Diastolic blood pressure, automated reading"	diastolic blood pressure	EFO_0006336	Exact	4079
"Systolic blood pressure, automated reading"	systolic blood pressure	EFO_0006335	Exact	4080
Pulse rate	heart rate	EFO_0004326	Exact	4194
Leg pain on walking	lower limb pain	HP_0012514	Broad	4728
Leg pain when standing still or sitting	lower limb pain	HP_0012514	Broad	5452
Leg pain in calf/calves	lower limb pain	HP_0012514	Broad	5463
Chest pain felt during physical activity	chest pain	HP_0100749	Broad	6015
Chest pain felt outside physical activity	chest pain	HP_0100749	Broad	6016
Maximum heart rate during fitness test	heart rate response to exercise	EFO_0009184	Exact	6033
Fluid intelligence score	intelligence	EFO_0004337	Exact	20016
Birth weight	birth weight	EFO_0004344	Exact	20022
Bipolar disorder status	bipolar disorder	EFO_0000289	Exact	20122
Neuroticism score	neuroticism measurement	EFO_0007660	Exact	20127
"Forced expiratory volume in 1-second (FEV1), Best measure"	forced expiratory volume	EFO_0004314	Broad	20150
"Forced vital capacity (FVC), Best measure"	vital capacity	EFO_0004312	Exact	20151
Body mass index (BMI)	body mass index	EFO_0004340	Exact	21001
Weight	body weight	EFO_0004338	Exact	21002
Pulse wave Arterial Stiffness index	arterial stiffness measurement	EFO_0004517	Exact	21021
hayfever or allergic rhinitis	seasonal allergic rhinitis	EFO_0003956	Exact	22126
asthma	asthma	EFO_0000270	Exact	22127
emphysema	emphysema	EFO_0000464	Exact	22128
chronic bronchitis	chronic bronchitis	EFO_0006505	Exact	22129
COPD (chronic obstructive pulmonary disease)	chronic obstructive pulmonary disease	EFO_0000341	Exact	22130
sarcoidosis	sarcoidosis	Orphanet_797	Exact	22133
bronchiectasis	bronchiectasis	HP_0002110	Exact	22134
idiopathic pulmonary fibrosis	idiopathic pulmonary fibrosis	EFO_0000768	Exact	22135
tuberculosis	tuberculosis	Orphanet_3389	Exact	22137
lung cancer (not mesothelioma)	lung carcinoma	EFO_0001071	Narrow	22140
Body fat percentage	body fat percentage	EFO_0007800	Exact	23099
Whole body fat mass	fat body mass	EFO_0005409	Exact	23100
Whole body fat-free mass	lean body mass	EFO_0004995	Exact	23101
Basal metabolic rate	base metabolic rate measurement	EFO_0007777	Exact	23105
Potassium in urine	abnormal urine potassium concentration	HP_0012598	Exact	30520
Sodium in urine	abnormal urine sodium concentration	HP_0012603	Exact	30530
Age at death	age at death	EFO_0005056	Exact	40007
lung cancer	lung carcinoma	EFO_0001071	Narrow	20001_1001
breast cancer	breast carcinoma	EFO_0000305	Narrow	20001_1002
skin cancer	skin carcinoma	EFO_0009259	Narrow	20001_1003
cancer of lip/mouth/pharynx/oral cavity	oral cavity cancer	EFO_0005570	Exact	20001_1004
larynx/throat cancer	laryngeal neoplasm	EFO_0003817	Broad	20001_1006
tongue cancer	tongue neoplasm	EFO_0003871	Broad	20001_1011
oesophageal cancer	esophageal carcinoma	EFO_0002916	Narrow	20001_1017
stomach cancer	stomach neoplasm	EFO_0003897	Broad	20001_1018
small intestine/small bowel cancer	small intestine carcinoma	EFO_0005588	Narrow	20001_1019
large bowel cancer/colorectal cancer	colorectal carcinoma	EFO_1001951	Narrow	20001_1020
colon cancer/sigmoid cancer	colon carcinoma	EFO_1001950	Narrow	20001_1022
rectal cancer	rectal cancer	EFO_1000657	Exact	20001_1023
liver/hepatocellular cancer	hepatocellular carcinoma	EFO_0000182	Narrow	20001_1024
eye and/or adnexal cancer	eye neoplasm	EFO_0003824	Broad	20001_1030
brain cancer / primary malignant brain tumour	brain neoplasm	EFO_0003833	Broad	20001_1032
kidney/renal cell cancer	kidney neoplasm	EFO_0003865	Broad	20001_1034
bladder cancer	bladder carcinoma	EFO_0000292	Narrow	20001_1035
ovarian cancer	ovarian carcinoma	EFO_0001075	Narrow	20001_1039
uterine/endometrial cancer	uterine carcinoma	EFO_0002919	Narrow	20001_1040
cervical cancer	cervical carcinoma	EFO_0001061	Narrow	20001_1041
prostate cancer	prostate carcinoma	EFO_0001663	Narrow	20001_1044
testicular cancer	testicular carcinoma	EFO_0005088	Narrow	20001_1045
lymphoma	lymphoma	EFO_0000574	Exact	20001_1047
leukaemia	leukemia	EFO_0000565	Exact	20001_1048
multiple myeloma	multiple myeloma	EFO_0001378	Exact	20001_1050
hodgkins lymphoma / hodgkins disease	Hodgkins lymphoma	EFO_0000183	Exact	20001_1052
non-hodgkins lymphoma	non-Hodgkins lymphoma	EFO_0005952	Exact	20001_1053
chronic lymphocytic	chronic lymphocytic leukemia	EFO_0000095	Exact	20001_1055
chronic myeloid	chronic myelogenous leukemia	EFO_0000339	Exact	20001_1056
malignant melanoma	melanoma	EFO_0000756	Exact	20001_1059
non-melanoma skin cancer	non-melanoma skin carcinoma	EFO_0009260	Narrow	20001_1060
basal cell carcinoma	basal cell carcinoma	EFO_0004193	Exact	20001_1061
squamous cell carcinoma	squamous cell carcinoma	EFO_0000707	Exact	20001_1062
primary bone cancer	bone neoplasm	EFO_0003820	Broad	20001_1063
thyroid cancer	thyroid carcinoma	EFO_0002892	Narrow	20001_1065
"malignant lymph node, unspecified"	lymphoid neoplasm	EFO_0001642	Broad	20001_1070
hypertension	hypertension	EFO_0000537	Exact	20002_1065
heart/cardiac problem	heart disease	EFO_0003777	Exact	20002_1066
peripheral vascular disease	peripheral vascular disease	EFO_0003875	Exact	20002_1067
venous thromboembolic disease	venous thrombosis	HP_0004936	Exact	20002_1068
essential hypertension	primary hypertension	EFO_1002032	Exact	20002_1072
gestational hypertension/pre-eclampsia	preeclampsia	EFO_0000668	Exact	20002_1073
angina	angina pectoris	EFO_0003913	Exact	20002_1074
heart attack/myocardial infarction	myocardial infarction	EFO_0000612	Exact	20002_1075
heart failure/pulmonary odema	heart failure	EFO_0003144	Exact	20002_1076
heart arrhythmia	cardiac arrhythmia	EFO_0004269	Exact	20002_1077
cardiomyopathy	cardiomyopathy	EFO_0000318	Exact	20002_1079
stroke	stroke	EFO_0000712	Exact	20002_1081
transient ischaemic attack (tia)	transient ischemic attack	EFO_0003764	Exact	20002_1082
subdural haemorrhage/haematoma	subdural hemorrhage	HP_0100309	Exact	20002_1083
subarachnoid haemorrhage	subarachnoid hemorrhage	EFO_0000713	Exact	20002_1086
leg claudication/ intermittent claudication	intermittent vascular claudication	EFO_0003876	Exact	20002_1087
pulmonary embolism +/- dvt	pulmonary embolism	EFO_0003827	Exact	20002_1093
deep venous thrombosis (dvt)	deep vein thrombosis	EFO_0003907	Exact	20002_1094
asthma	asthma	EFO_0000270	Exact	20002_1111
chronic obstructive airways disease/copd	chronic obstructive pulmonary disease	EFO_0000341	Exact	20002_1112
emphysema/chronic bronchitis	emphysema	EFO_0000464	Exact	20002_1113
bronchiectasis	bronchiectasis	HP_0002110	Exact	20002_1114
interstitial lung disease	interstitial lung disease	EFO_0004244	Exact	20002_1115
asbestosis	asbestosis	EFO_0007153	Exact	20002_1120
pulmonary fibrosis	pulmonary fibrosis	EFO_0009448	Exact	20002_1121
fibrosing alveolitis/unspecified alveolitis	pulmonary alveolitis	EFO_0009624	Exact	20002_1122
sleep apnoea	sleep apnea	EFO_0003877	Exact	20002_1123
pleurisy	pleurisy	EFO_1001825	Exact	20002_1125
spontaneous pneumothorax/recurrent pneumothorax	spontaneous pneumothorax	HP_0002108	Exact	20002_1126
gastro-oesophageal reflux (gord) / gastric reflux	gastroesophageal reflux disease	EFO_0003948	Exact	20002_1138
oesophagitis/barretts oesophagus	esophagitis  || Barrett's esophagus	"HP_0100633, EFO_0000280"	Exact	20002_1139
gastric/stomach ulcers	peptic ulcer	HP_0004398	Exact	20002_1142
gastritis/gastric erosions	gastritis	EFO_0000217	Exact	20002_1143
irritable bowel syndrome	irritable bowel syndrome	EFO_0000555	Exact	20002_1154
hepatitis	hepatitis	HP_0012115	Exact	20002_1155
infective/viral hepatitis	viral human hepatitis infection	EFO_0004196	Exact	20002_1156
liver failure/cirrhosis	cirrhosis of liver	EFO_0001422	Exact	20002_1158
gall bladder disease	gallbladder disease	EFO_0003832	Exact	20002_1161
cholelithiasis/gall stones	gallstones  || cholelithiasis	"EFO_0004210, EFO_0004799"	Exact	20002_1162
cholecystitis	cholecystitis	HP_0001082	Exact	20002_1163
pancreatitis	pancreatitis	EFO_0000278	Exact	20002_1165
peritonitis	peritonitis	EFO_0008588	Exact	20002_1190
gastrointestinal bleeding	gastrointestinal hemorrhage	HP_0002239	Exact	20002_1191
renal/kidney failure	kidney failure	EFO_1002048	Exact	20002_1192
urinary tract infection/kidney infection	urinary tract infection	EFO_0003103	Exact	20002_1196
kidney stone/ureter stone/bladder stone	nephrolithiasis  || ureterolithiasis  || bladder calculus	"EFO_0004253, EFO_1001228, EFO_1000839"	Exact	20002_1197
ureteric obstruction/hydronephrosis	hydronephrosis	EFO_0005562	Exact	20002_1200
urinary frequency / incontinence	urgency urinary incontinence	EFO_0006865	Exact	20002_1202
diabetes	diabetes	EFO_0000400	Exact	20002_1220
gestational diabetes	gestational diabetes	EFO_0004593	Exact	20002_1221
type 1 diabetes	type i diabetes mellitus	EFO_0001359	Exact	20002_1222
type 2 diabetes	type ii diabetes mellitus	EFO_0001360	Exact	20002_1223
hyperthyroidism/thyrotoxicosis	hyperthyroidism  || thyrotoxicosis	"EFO_0009189, EFO_0009190"	Exact	20002_1225
hypothyroidism/myxoedema	hypothyroidism  || myxedema	"EFO_0004705, EFO_1001055"	Exact	20002_1226
parathyroid hyperplasia/adenoma	parathyroid hyperplasia	EFO_1000457	Exact	20002_1230
pituitary adenoma/tumour	pituitary gland adenoma	EFO_1000478	Exact	20002_1238
encephalitis	encephalomyelitis	EFO_0001423	Exact	20002_1246
bell's palsy/facial nerve palsy	Bell's palsy	EFO_0007167	Exact	20002_1250
peripheral neuropathy	peripheral neuropathy	EFO_0003100	Exact	20002_1255
acute infective polyneuritis/guillain-barre syndrome	Guillain-Barre syndrome	EFO_0007292	Exact	20002_1256
multiple sclerosis	multiple sclerosis	EFO_0003885	Exact	20002_1261
parkinsons disease	Parkinson's disease	EFO_0002508	Exact	20002_1262
dementia/alzheimers/cognitive impairment	dementia  || Alzheimer's disease  || cognitive impairment	"HP_0000726, EFO_0000249, HP_0100543"	Exact	20002_1263
epilepsy	epilepsy	EFO_0000474	Exact	20002_1264
migraine	migraine disorder	EFO_0003821	Exact	20002_1265
spinal injury	spinal cord injury	EFO_1001919	Exact	20002_1267
eye infection	eye infection	EFO_1001888	Exact	20002_1274
retinal problem	retinopathy	EFO_0003839	Exact	20002_1275
glaucoma	glaucoma	EFO_0000516	Exact	20002_1277
cataract	cataract	EFO_0001059	Exact	20002_1278
retinal detachment	retinal detachment	EFO_0005773	Exact	20002_1281
retinal artery/vein occlusion	retinal artery occlusion  || retinal vein occlusion	"EFO_1001154, EFO_1001157"	Exact	20002_1282
depression	unipolar depression	EFO_0003761	Narrow	20002_1286
schizophrenia	schizophrenia	EFO_0000692	Exact	20002_1289
deliberate self-harm/suicide attempt	attempted suicide	EFO_0004321	Exact	20002_1290
mania/bipolar disorder/manic depression	bipolar disorder	EFO_0000289	Exact	20002_1291
bone disorder	bone disease	EFO_0004260	Exact	20002_1293
joint disorder	joint disease	EFO_1000999	Exact	20002_1295
osteomyelitis	osteomyelitis	EFO_0003102	Exact	20002_1308
osteoporosis	osteoporosis	EFO_0003882	Exact	20002_1309
ankylosing spondylitis	ankylosing spondylitis	EFO_0003898	Exact	20002_1313
myositis/myopathy	myositis  || myopathy	"EFO_0000783, EFO_0004145"	Exact	20002_1322
low platelets/platelet disorder	thrombocytopenia	HP_0001873	Exact	20002_1327
iron deficiency anaemia	iron deficiency anemia	HP_0001891	Exact	20002_1330
pernicious anaemia	pernicious anemia	EFO_0005576	Exact	20002_1331
thalassaemia	thalassemia	EFO_1001996	Exact	20002_1340
ovarian cyst or cysts	ovarian cyst	HP_0000138	Exact	20002_1349
polycystic ovaries/polycystic ovarian syndrome	polycystic ovary syndrome	EFO_0000660	Exact	20002_1350
uterine fibroids	uterine fibroid	EFO_0000731	Exact	20002_1351
vaginal prolapse/uterine prolapse	uterine prolapse	EFO_1001864	Exact	20002_1353
fibrocystic disease	breast fibrocystic disease	EFO_0003014	Exact	20002_1366
breast cysts	breast cyst	EFO_1000848	Exact	20002_1367
sarcoidosis	sarcoidosis	Orphanet_797	Exact	20002_1371
vasculitis	vasculitis	EFO_0006803	Exact	20002_1372
connective tissue disorder	connective tissue disease	EFO_1001986	Exact	20002_1373
allergy/hypersensitivity/anaphylaxis	allergy	EFO_0003785	Broad	20002_1374
giant cell/temporal arteritis	temporal arteritis	EFO_1001209	Exact	20002_1376
polymyalgia rheumatica	polymyalgia rheumatica	EFO_0008518	Exact	20002_1377
wegners granulmatosis	granulomatosis with polyangiitis	EFO_0005297	Exact	20002_1378
